Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Oche,Settlement,village,Dekina,Medium (2k-10k),2,7.6617155,7.4026283,"https://www.google.com/maps/search/?api=1&query=7.6617155,7.4026283"
Kefi,Settlement,village,Dekina,Medium (2k-10k),2,7.55,7.05,"https://www.google.com/maps/search/?api=1&query=7.55,7.05"
Acharu,Settlement,village,Dekina,Medium (2k-10k),2,7.5126831,7.3073488,"https://www.google.com/maps/search/?api=1&query=7.5126831,7.3073488"
Mamerebo,Settlement,village,Dekina,Medium (2k-10k),2,7.416667,7.0,"https://www.google.com/maps/search/?api=1&query=7.416667,7.0"
Aligi Ado,Settlement,village,Dekina,Medium (2k-10k),2,7.383333,7.2,"https://www.google.com/maps/search/?api=1&query=7.383333,7.2"
Oghe,Settlement,village,Dekina,Medium (2k-10k),2,7.6617155,7.4026283,"https://www.google.com/maps/search/?api=1&query=7.6617155,7.4026283"
Ameka,Settlement,village,Dekina,Medium (2k-10k),2,7.416667,7.3,"https://www.google.com/maps/search/?api=1&query=7.416667,7.3"
Lafia,Settlement,village,Dekina,Medium (2k-10k),2,7.4264,7.3328,"https://www.google.com/maps/search/?api=1&query=7.4264,7.3328"
Ayangba,Settlement,town,Dekina,High (20k-50k),1,7.505557,7.1764306,"https://www.google.com/maps/search/?api=1&query=7.505557,7.1764306"
Egboje,Settlement,village,Dekina,Medium (2k-10k),2,7.4905534,7.4138557,"https://www.google.com/maps/search/?api=1&query=7.4905534,7.4138557"
Igbadim,Settlement,village,Dekina,Medium (2k-10k),2,7.566667,7.05,"https://www.google.com/maps/search/?api=1&query=7.566667,7.05"
Elikah,Settlement,village,Dekina,Medium (2k-10k),2,7.6107696,6.9759961,"https://www.google.com/maps/search/?api=1&query=7.6107696,6.9759961"
Ibreda,Settlement,village,Dekina,Medium (2k-10k),2,7.4773,6.9607,"https://www.google.com/maps/search/?api=1&query=7.4773,6.9607"
Ajieru,Settlement,village,Dekina,Medium (2k-10k),2,7.533333,7.066667,"https://www.google.com/maps/search/?api=1&query=7.533333,7.066667"
Ayale,Settlement,town,Dekina,High (20k-50k),1,7.6343971,7.319063,"https://www.google.com/maps/search/?api=1&query=7.6343971,7.319063"
Iyale,Settlement,town,Dekina,High (20k-50k),1,7.6343971,7.319063,"https://www.google.com/maps/search/?api=1&query=7.6343971,7.319063"
Jeri,Settlement,village,Dekina,Medium (2k-10k),2,7.638247,7.377764,"https://www.google.com/maps/search/?api=1&query=7.638247,7.377764"
Yari,Settlement,village,Dekina,Medium (2k-10k),2,7.638247,7.377764,"https://www.google.com/maps/search/?api=1&query=7.638247,7.377764"
Adoloko,Settlement,village,Dekina,Medium (2k-10k),2,7.656702,7.279409,"https://www.google.com/maps/search/?api=1&query=7.656702,7.279409"
Ebeje,Settlement,village,Dekina,Medium (2k-10k),2,7.7037496,7.142976,"https://www.google.com/maps/search/?api=1&query=7.7037496,7.142976"
Ebeji,Settlement,village,Dekina,Medium (2k-10k),2,7.7037496,7.142976,"https://www.google.com/maps/search/?api=1&query=7.7037496,7.142976"
Elubi,Settlement,hamlet,Dekina,Low (<1k),3,7.581695,7.407249,"https://www.google.com/maps/search/?api=1&query=7.581695,7.407249"
Etutekpe,Settlement,village,Dekina,Medium (2k-10k),2,7.7193585,7.2816215,"https://www.google.com/maps/search/?api=1&query=7.7193585,7.2816215"
Etutekpo,Settlement,village,Dekina,Medium (2k-10k),2,7.7193585,7.2816215,"https://www.google.com/maps/search/?api=1&query=7.7193585,7.2816215"
Ilainya,Settlement,village,Dekina,Medium (2k-10k),2,7.74507,7.288673,"https://www.google.com/maps/search/?api=1&query=7.74507,7.288673"
Ilainyo,Settlement,village,Dekina,Medium (2k-10k),2,7.74507,7.288673,"https://www.google.com/maps/search/?api=1&query=7.74507,7.288673"
Ilajyno,Settlement,village,Dekina,Medium (2k-10k),2,7.74507,7.288673,"https://www.google.com/maps/search/?api=1&query=7.74507,7.288673"
Itama,Settlement,village,Dekina,Medium (2k-10k),2,7.564523,7.363766,"https://www.google.com/maps/search/?api=1&query=7.564523,7.363766"
